Country,State,Location,Activity,Date,Year,Type,Month,Sex,Age,Injury_Category,Time,Species,Fatal Y/N
Australia,Western Australia,Sorrento Beach Perth,Swimming,18 september,2026,Unprovoked,September,M,63.0,Other,10:15,White Shark,Y
Canada,Quebec,Off The Coast Of Perce Le Bilbo Dive Site,Diving,16 september,2026,Unprovoked,September,M,,Injury,10:30,White Shark,N
Bahamas,Bimini,Bimini Island,Swimming,14 september,2026,Unprovoked,September,F,37.0,Injury,17:30,Other/Unknown,N
Australia,Western Australia,Geraldton,Surfing,13 september,2026,Unprovoked,September,M,,Severe injury,09:45,Other/Unknown,N
Usa,Hawaii,Honolulu,Surfing,7 september,2026,Unprovoked,September,M,24.0,Other,16:40,Tiger Shark,N
Usa,Florida,New Smyrna Beach,Surfing,2 september,2026,Unprovoked,September,M,,Injury,11:00,Other/Unknown,N
Usa,Florida,30 Miles Off Pensacola,Spearfishing,1 september,2026,Unprovoked,September,M,40.0,Injury,16:35,Bull Shark,N
Usa,Massachusetts,Norton Point Edgartown Marthas Vinyard,Swimming,31 august,2026,Unprovoked,August,F,,Injury,13:40,Other/Unknown,N
Usa,Hawaii,"Ala Moana Beach Park, Oahu",Surfing,26 august,2026,Unprovoked,August,F,,No injury,13:30,Tiger Shark,N
Usa,Florida,Boca Grande (Island In The Keys),Wading on a sandbar,23 august,2026,Unprovoked,August,M,43.0,Injury,17:00,Other/Unknown,N
Reunion Island,Saint-Gilles-Les-Baines,Outer Reef Roches Noires,Spearfishiong,19 august,2026,Provoked,August,M,,No injury,No time specified,Bull Shark,N
Ireland,Waterford,Ardemore County,Fishing,11 august,2026,Provoked,August,M,27.0,Injury,16:15,Other/Unknown,N
Usa,Maine,Scarborough Beach Park,Operation of Rescue Torpedo,8 august,2026,Unprovoked,August,M,71.0,No injury,13:00,White Shark,N
Usa,South Carolina,Murrells Inlet Garden City,Swimming,29 july,2026,Unprovoked,July,M,,Injury,17:15,Other/Unknown,N
Usa,Florida,Daytona Beach Shores Volusia County,Swimming,25 july,2026,Unprovoked,July,M,21.0,Injury,17:30,Other/Unknown,N
Bahamas,Not Stated,Nort Stated,Snorkeling,24 july,2026,Unprovoked,July,M,69.0,Injury,No time specified,Other/Unknown,N
Fiji,Not Stated,Not Stated,Spearfishing,24 july,2026,Unprovoked,July,M,,Injury,17:00,Other/Unknown,N
Australia,Queensland,Bundaberg,Hydrofoiling,21 july,2026,Unprovoked,July,M,,Injury,No time specified,Other/Unknown,N
Australia,Tasmania,Coral Point Bruny Island,Spearfishing,18 july,2026,Unprovoked,July,M,31.0,Severe injury,09:00,Other/Unknown,N
Usa,New York,Jones Beach State Park Long Island,Swimming,3 july,2026,Unprovoked,July,M,,Injury,No time specified,Tiger Shark,N
Usa,Georgia,Near Ossabaw Island Liberty County,Fishing,1 july,2026,Provoked,July,M,13.0,Severe injury,16:06,Other/Unknown,N
Bahamas,Staniel Cay,Exhuma Cays,Swimming,23 june,2026,Unprovoked,June,M,12.0,Unknown,15:30,Other/Unknown,N
Usa,Florida,Reservation Way Near Indian Pass,Swimming,13 june,2026,Unprovoked,June,F,17.0,Injury,11:45,Other/Unknown,N
Australia,Nsw,Coogee Beach,Swimming,13 june,2026,Unprovoked,June,F,35.0,Severe injury,11:15,White Shark,N
Galapogos Islands,Santa Fe Island,Mosquera Islet,Snorkeling,11 june,2026,Unprovoked,June,F,,Injury,No time specified,Other/Unknown,N
Usa,Florida,Panama City,Swimming,8 june,2026,Unprovoked,June,M,,Injury,11:45,Bull Shark,N
Australia,Western Australia,Michaelmas Island King George Sound,Spearfishing,6 june,2026,Unprovoked,June,M,35.0,Injury,11:25,White Shark,Y
Usa,Florida,Pensacola Beach Fort Pickens,Fishing,5 june,2026,Provoked,June,M,,Injury,18:00,Bull Shark,N
Brazil,Recife,Boa Via Gem Beach,Swimming,1 june,2026,Unprovoked,June,F,19.0,Severe injury,16:43,Tiger Shark,N
Brazil,Jaboatao Dos Guarapes,Pierrebbeach,Swimming,1 june,2026,Unprovoked,June,M,11.0,Severe injury,13:40,Bull Shark,N
Australia,Nsw,Red Cliff Beach Yuraygir National Park,Surfing,31 may,2026,Unprovoked,May,M,20.0,Injury,No time specified,Bull Shark,N
Usa,Hawaii,Cromwell'S Beach Oahu,Paddling  surfboard,30 may,2026,Unprovoked,May,M,38.0,Injury,06:30,Other/Unknown,N
Usa,Texas,Galveston,Fishing,25 may,2026,Provoked,May,M,17.0,Injury,15:15,Other/Unknown,N
Australia,Queensland,Kennedy Shoal,Spearfishing,24 may,2026,Unprovoked,May,M,39.0,Injury,11:00,Bull Shark,Y
Hawaii,Maui,Olowalu,Kayaking,22 may,2026,Unprovoked,May,Unknown,,Injury,No time specified,Tiger Shark,N
Usa,Maryland,Assateague State Park,Surfing,17 may,2026,Questionable,May,M,,Injury,No time specified,Other/Unknown,N
Australia,Western Australia,Horseshoe Reef  Rottnest Island,Skindiving,16 may,2026,Unprovoked,May,M,38.0,Severe injury,10:00,White Shark,Y
Maldives,Gaafu Alif Atoll,Kooddoo,Swimming,14 april,2026,Unprovoked,April,M,,Severe injury,No time specified,Other/Unknown,N
Australia,South Australia,Middleton Beach Fleurieu Peninsula Adelaide,Surfing,3 april,2026,Unprovoked,April,M,16.0,Injury,No time specified,Bronze Whaler Shark,N
Bahamas,Andros Island,Fresh Creek,Swimming,26 march,2026,Unprovoked,March,F,22.0,Severe injury,17:30,Other/Unknown,N
Australia,South Australia,Cape Jaffa Limestone Coast,Diving,25 march,2026,Unprovoked,March,M,,Unknown,No time specified,White Shark,N
Australia,Nsw,Little Avalon Beach,Surfing,22-23 march,2026,Unprovoked,March,M,,Injury,No time specified,Other/Unknown,N
Usa,California,Big River Beach Mendocino County,Surfing,18 march,2026,Unprovoked,March,M,39.0,Injury,17:15,White Shark,N
Australia,Western Australia,Exmouth,Swimming,14 march,2026,Unprovoked,March,F,,Minor injury,10:15,Other/Unknown,N
Australia,Western Australia,Exmouth,Wing Foiling,10 march,2026,Unprovoked,March,M,,Other,08:00,White Shark,N
Australia,Queensland,Lady Elliott Island,Snorkeling,5 march,2026,Unprovoked,March,M,,Injury,08:15,Other/Unknown,N
New Caledonia,Noumea,Anse Vata Near Point Magnin,Wing Foiling,22 february,2026,Unprovoked,February,M,55.0,Injury,No time specified,Tiger Shark,Y
Cayman Islands,Little Cayman Island,Caribbean Sea,Diving,6 february,2026,Unprovoked,February,M,,Minor injury,No time specified,Tiger Shark,N
Brazil,Recife,Del Chifre Beach In Olinda,Swimming,29 january,2026,Unprovoked,January,M,13.0,Severe injury,No time specified,Tiger Shark,Y
Australia,Nsw,Angels Beach East Ballina,Surfing,29 january,2026,Unprovoked,January,M,,No injury,11:00,Other/Unknown,N
Australia,Tasmania,Cooee Beach West Of Burnie,Swimming,24 january,2026,Unprovoked,January,F,,Injury,18:15,Other/Unknown,N
Australia,Nsw,Point Plomber North Of Port Macquarie,Surfing,20 january,2026,Unprovoked,January,M,39.0,Minor injury,08:30,Bull Shark,N
Australia,Nsw,Dee Why,Surfing,19 january,2026,Unprovoked,January,M,11.0,Other,11:45,Bull Shark,N
Australia,Nsw,North Steyne,Surfing,19 january,2026,Unprovoked,January,M,27.0,Injury,18:20,Other/Unknown,N
Australia,Nsw,Nielsen Park Vaucluse Sydney Harbour,Jumping off rocks,18 january,2026,Unprovoked,January,M,12.0,Injury,16:20,Bull Shark,Y
Usa,California,Mendocino County,Surfing,13 january,2026,Unprovoked,January,M,26.0,Minor injury,08:30,Other/Unknown,N
Australia,Nsw,Avalon Beach,Surfing,10 january,2026,Unprovoked,January,M,,Injury,05:40,Other/Unknown,N
Us Virgin Islands,Fredricksted Island St Croix,Dorsch Beach,Snorkeling,8 january,2026,Unprovoked,January,F,56.0,Severe injury,16:28,Other/Unknown,Y
Mozambique,Inhambe Province,Vilanculous District,Diving,5 january,2026,Unprovoked,January,M,,Other,No time specified,Other/Unknown,Y
New Caledonia,Kélé,Between Bourail And Moindou,Scuba Diving,3 january,2026,Provoked,January,M,,Injury,No time specified,Other/Unknown,N
Mozambique,Inhambe Province,Prainha,Not stated,25 december,2025,Unprovoked,December,Unknown,,Other,No time specified,Other/Unknown,Y
Australia,Western Australia,Ocean Reef North Perth,SCUBA Diving,21 december,2025,Unprovoked,December,M,,Unknown,No time specified,White Shark,N
Usa,California,Lovers Point Pacific Grove,Swimming,21 december,2025,Unprovoked,December,F,55.0,Injury,12:00,White Shark,Y
Usa,Sonoma County California,Salmon Creek,Surfing,12 december,2025,Unprovoked,December,M,,Injury,08:00,White Shark,N
Usa,Hawaii West Coast Big Island,"Ka'Alu""Alu Beach",Freeing trapped shark,9 december,2025,Provoked,December,M,24.0,Injury,16:30,Other/Unknown,N
Australia,Nsw,Crowdy Bay,Swimming,27 november,2025,Unprovoked,November,M,26.0,Injury,06:30,Bull Shark,N
Australia,Nsw,Crowdy Bay,Swimming,27 november,2025,Unprovoked,November,F,25.0,Unknown,06:30,Bull Shark,Y
Australia,Western Australia,Prevelly Beach Magaret River,Foil Boarding,10 november,2025,Unprovoked,November,M,61.0,No injury,17:45,White Shark,N
French Polynesia,Marquesas Islands,Hakahau Bay,Swimming,9 november,2025,Unprovoked,November,M,40.0,Injury,No time specified,Other/Unknown,N
Usa,Hawaii,Pine Trees Hanalei Bay Kaui,Swimming,5 november,2025,Unprovoked,November,M,,Injury,No time specified,Other/Unknown,N
Usa,Texas,Matagorda Beach Matagorda,Fishing,5 november,2025,Unprovoked,November,M,,Injury,No time specified,Other/Unknown,N
Samoa,,Aga Reef Resort Lalomanu,Surfing,4 november,2025,Unprovoked,November,M,13.0,Injury,18:00,Tiger Shark,N
Columbia,"Bolivar, Del Isolate",Catagena Province,Swimming with sharks,14 october,2025,Unprovoked,October,M,14.0,Severe injury,No time specified,Nurse Shark,N
Australia,Queensland,Cook Esplanade Thursday Island,Fishing/swimming,11 october,2025,Unprovoked,October,M,14.0,Injury,18:23,Tiger Shark,N
Australia,South Australia,Kangaroo Island,Surfing,7 october,2025,Unprovoked,October,M,,Injury,13:30,Bronze Whaler Shark,N
Usa,Off California,Catalina Island,Swimming,29 september,2025,Unprovoked,September,M,54.0,Injury,01:00,Other/Unknown,N
Costa Rica,,Cocos Islands,Diving-Tagging sharks,27 september,2025,Provoked,September,M,48.0,Other,No time specified,Tiger Shark,N
Australia,Nsw,Long Reef Sydney,Surfing,6 september,2025,Unprovoked,September,M,57.0,Severe injury,09:30,White Shark,Y
Usa,Florida,Horseshoe Reef Key Largo,Snorkeling,1 september,2025,Unprovoked,September,M,8.0,Injury,15:24,Other/Unknown,N
Usa,Texas,Galveston,Swimming,30 august,2025,Unprovoked,August,F,8.0,Injury,No time specified,Other/Unknown,N
Australia,Nsw,Cabarita Beach,Surfing,18 august,2025,Unprovoked,August,M,,Severe injury,07:30,White Shark,N
Bahamas,Atlantic Ocean Near Big Grand Cay,North Of Grand Bahama Near Freeport,Spearfishing,17 august,2025,Unprovoked,August,M,63.0,Severe injury,13:00,Other/Unknown,N
Usa,Florida,Cayo Costa Boca Grande,Fishing,16 august,2025,Provoked,August,M,,Injury,10:55,Lemon Shark,N
Australia,Nsw,Tathra Beach,Surfing,7 august,2025,Unprovoked,August,M,9.0,Severe injury,16:30,White Shark,N
Puerto Rico,Carolina,Carolina Beach,Wading,1 august,2025,Unprovoked,August,F,39.0,Injury,No time specified,Other/Unknown,N
Australia,South Australia,Seacliff Beach Adelaide,Kayaking,28 july,2025,Unprovoked,July,M,19.0,No injury,11:30,White Shark,N
French Polynesia,Nuku Hiva,Taiohae Bay,Swimming,25 july,2025,Unprovoked,July,M,7.0,Injury,No time specified,Other/Unknown,N
Spain,Majorca,Playa De Palma Beach,Swimming,22 july,2025,Unprovoked,July,F,85.0,Injury,11:30,Other/Unknown,N
Canary Islands,Fuerteventura,Los Mollinas,Surfing (Hydrofoiling),20 july,2025,Unprovoked,July,M,,Injury,No time specified,Other/Unknown,N
Usa,Florida,Jupiter Inlet Off Jupiter Beach Palm Beach County,Diving,19 july,2025,Unprovoked,July,M,69.0,Injury,No time specified,Lemon Shark,N
Usa,Florida,New Smyrna Beach,Surfing,18 july,2025,Unprovoked,July,M,18.0,Injury,11:50,Other/Unknown,N
Bahamas,Great Abaco Islands,Spanish Cay,Spearfishing,15 july,2025,Unprovoked,July,M,66.0,Injury,No time specified,Bull Shark,N
Usa,Massachusetts,Hoicks Hollow Nantucket Beach,Fishing,6 july,2025,Provoked,July,M,21.0,Injury,No time specified,Other/Unknown,N
Usa,Florida,New Smyrna Beach,Surfing,6 july,2025,Unprovoked,July,M,40.0,Injury,15:00,Other/Unknown,N
South Africa,Kwazulu-Natal,Mfazazana Hibberdene,Fishing,4 july,2025,Unprovoked,July,M,37.0,Injury,No time specified,Other/Unknown,Y
Australia,Nsw,Norries Headland Cabarita Beach,Swimming,29 june,2025,Unprovoked,June,M,16.0,Injury,16:00,Bull Shark,N
Usa,Long Island Ny,Wantagh,Swimming,25 june,2025,Unprovoked,June,F,20.0,Injury,16:15,Tiger Shark,N
Usa,South Carolina,Coligny Beach Hilton Head Island,Swimming,22 june,2025,Unprovoked,June,F,,Injury,12:10,Other/Unknown,N
Usa,South Carolina,Beach Marker 24 Hilton Head Island,Swimming,17 june,2025,Unprovoked,June,F,12.0,Injury,12:00,Other/Unknown,N
Usa,Florida,Boca Grande,Snorkeling,,2025,Unprovoked,,F,9.0,Severe injury,12:11,Bull Shark,N
Usa,California,Montara State Beach,Surfing,31 may,2025,Unprovoked,May,M,42.0,No injury,14:00,White Shark,N
Usa,North Carolina,Sunset Beach,Swimming,,2025,Unprovoked,,M,26.0,Injury,11:00,Other/Unknown,N
Vanuatu,South Santo,Espiitu Santo Island,Swimming,,2025,Unprovoked,,M,14.0,Injury,No time specified,Other/Unknown,Y
Australia,South Australia,Port Noarlunga,Swimming,,2025,Unprovoked,,M,66.0,Injury,09:45,Other/Unknown,N
Jamaica,Montego Bay,Rose Hall Beach,Paddling,,2025,Unprovoked,,F,26.0,Minor injury,No time specified,Other/Unknown,N
Israel,Hadera,Olga Beach Near Hadera Stream,Diving,,2025,Unprovoked,,M,45.0,Severe injury,15:00,Other/Unknown,Y
Mexico,Quntana Roo,Chac Mool Beach Cancun,Rescuing female companion,,2025,Questionable,,M,20.0,Other,No time specified,Other/Unknown,Y
Maldives,Kulhudhuffushi City,Haa Dhaalu Atoll,snorkeling,,2025,Unprovoked,,M,30.0,Injury,No time specified,Other/Unknown,N
Usa,Florida,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),Undisclosed,,2025,Unprovoked,,M,,Injury,15:00,Other/Unknown,N
Bahamas,Abacos,Green Turtle Cay,Spearfishing,9 april,2025,Unprovoked,April,M,60.0,Injury,12:30,Other/Unknown,N
Australia,Wa,Sandtrax Port Beach North Fremantle Perth,Swimming,,2025,Unprovoked,,M,,Other,14:30,Tiger Shark,N
Australia,Wa,Duke Of Orleans Bay,Surfing,,2025,Unprovoked,,M,37.0,Other,12:10,White Shark,Y
Australia,Nsw,Gunyah Beach Bundeena Port Hacking,Swimming,,2025,Unprovoked,,F,56.0,Injury,13:40,Bull Shark,N
Australia,Victoria,Nuns Beach Near Portland,Swimming,,2025,Unprovoked,,M,,Minor injury,No time specified,Other/Unknown,N
